kÛd obce;n·zev obce;voliËi v seznamu;vydanÈ ob·lky;platnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
538965;VeleÚ;945;670;665;125;1;0;31;1;37;21;7;2;23;1;2;98;0;0;42;196;0;1;7;0;0;1;2;67;0
538698;RadÏjovice;324;245;244;58;0;0;12;0;14;5;1;2;4;1;0;44;0;0;14;55;0;2;5;0;0;0;1;25;1
564907;Nupaky;922;619;617;77;1;0;31;0;53;15;4;0;10;0;1;124;1;0;57;168;0;0;16;0;4;1;0;52;2
539031;Vöestary;626;438;434;80;0;1;14;0;41;24;3;2;4;0;1;68;0;0;38;104;0;4;18;0;3;0;0;28;1
531553;KonÏtopy;236;152;152;32;0;0;13;0;11;2;1;5;1;0;0;12;0;0;3;51;0;0;11;0;0;0;0;10;0
533432;Kozojedy;638;469;467;82;2;0;19;0;48;22;1;3;11;0;0;78;1;2;35;103;0;2;11;0;0;0;1;43;3
513644;Zlat·;222;162;162;29;0;0;7;0;10;6;3;0;2;0;0;26;0;0;19;47;0;0;3;0;1;0;0;9;0
538426;Kunice;1049;783;776;154;1;0;28;0;56;19;8;4;10;0;1;131;1;0;78;181;0;0;14;0;11;1;5;71;2
513628;KlokoËn·;205;153;153;29;1;3;3;0;12;10;3;1;1;0;0;21;1;0;15;36;0;1;6;0;0;0;0;10;0
538973;Velik· Ves;241;147;145;32;0;0;8;0;6;9;1;0;3;0;2;20;0;0;11;35;0;0;1;0;2;1;0;13;1
534986;Lhota;356;253;252;62;1;0;16;0;11;5;1;2;10;0;0;31;0;0;23;68;0;0;4;0;0;0;1;16;1
538515;MratÌn;898;599;599;140;0;0;40;0;26;28;11;2;13;0;0;69;0;0;40;152;0;0;5;0;5;2;0;65;1
538604;PanenskÈ B¯eûany;418;276;275;63;1;0;8;0;22;10;5;3;5;0;2;41;0;0;16;64;0;1;3;0;2;3;0;25;1
538167;Dob¯ejovice;686;520;506;92;0;1;21;0;36;27;9;5;12;1;0;69;0;1;48;135;0;0;14;0;1;0;1;33;0
564974;K·ran˝;604;405;400;85;0;0;17;0;15;13;6;5;4;0;0;62;0;1;29;123;0;0;6;0;1;0;0;32;1
599221;PopoviËky;265;193;192;32;0;1;5;0;14;3;2;0;7;0;1;23;0;0;11;72;1;0;5;0;0;0;0;15;0
538451;LouÚovice;805;621;619;110;0;2;21;0;48;17;9;1;24;1;0;102;0;0;66;146;0;2;19;2;5;0;0;44;0
533548;NuËice;306;201;199;14;2;0;12;0;28;19;5;0;5;0;0;24;0;0;15;48;0;1;3;0;1;0;1;18;3
538825;Struha¯ov;657;454;447;79;2;0;23;0;45;18;6;3;5;0;1;84;1;0;33;106;0;0;8;0;1;0;1;27;4
538299;Kamenice;3334;2271;2254;411;5;2;103;1;184;96;50;15;46;0;2;346;2;5;194;521;1;3;73;0;19;2;1;168;4
533564;Oleöka;761;460;459;34;0;0;37;0;28;31;4;3;5;0;1;44;0;0;24;170;0;1;11;0;2;3;3;56;2
539091;Zv·novice;430;316;314;56;0;0;8;0;38;22;5;7;4;0;0;30;0;0;17;96;1;1;4;0;2;0;0;23;0
533416;Kostelec nad »ern˝mi lesy;2840;1806;1805;289;9;0;96;1;125;141;31;10;22;3;1;223;2;2;144;479;2;9;47;0;4;5;4;153;3
538540;Nehvizdy;1893;1308;1304;237;20;1;60;0;78;49;14;4;32;0;1;170;1;1;121;358;1;4;39;1;8;0;3;100;1
538671;P¯ezletice;1103;842;841;186;0;0;35;0;53;38;10;10;16;0;3;133;2;1;87;183;0;0;24;0;4;1;0;53;2
539082;ZlonÌn;427;300;299;66;2;0;15;0;10;9;4;5;24;7;0;38;0;2;34;55;0;0;6;3;1;0;0;18;0
538485;Miroöovice;904;641;639;103;0;1;17;0;71;14;2;5;13;1;3;123;0;1;47;153;2;2;22;0;7;1;1;48;2
538469;M·slovice;300;224;222;16;0;0;16;0;24;21;3;2;3;0;0;31;0;0;8;65;0;0;1;0;1;0;3;27;1
538418;K¯Ìûkov˝ ⁄jezdec;163;130;129;43;0;1;1;0;7;4;0;1;2;1;0;11;0;0;6;30;0;1;4;1;1;1;0;13;1
538256;Husinec;1054;769;762;119;0;2;32;1;57;29;10;3;12;1;1;144;0;0;96;157;0;0;41;0;17;1;0;37;2
571644;ätÌhlice;144;94;93;9;0;0;6;0;11;8;0;0;1;0;0;12;0;0;7;24;0;0;0;0;2;0;0;10;3
538728;ÿÌËany;11198;7967;7926;1393;16;4;344;3;820;291;149;51;127;7;15;1332;2;5;875;1707;3;9;309;2;46;3;2;400;11
538779;Sluhy;539;353;352;63;1;0;6;0;22;11;2;1;4;1;2;44;0;0;22;123;0;1;10;0;2;0;0;36;1
564991;K¯enice;520;399;392;101;3;1;18;0;34;8;1;2;13;1;1;69;0;0;33;74;0;2;6;0;3;0;2;19;1
564885;Doubek;328;236;235;53;1;0;10;0;25;12;7;0;7;0;0;32;0;0;23;43;0;0;4;0;3;1;0;13;1
538264;Jenötejn;665;479;475;91;0;0;19;0;46;24;16;2;8;1;0;75;0;0;47;78;0;0;22;0;3;0;0;43;0
538639;Polerady;204;109;107;13;0;0;4;0;8;3;2;1;4;0;1;14;0;0;4;29;0;0;1;0;0;0;0;22;1
538892;Tehov;648;455;452;91;0;0;16;0;35;18;9;6;3;0;2;86;0;0;36;91;0;0;17;0;2;1;1;38;0
564796;V˝ûerky;116;74;74;6;0;0;5;0;4;5;0;1;2;1;0;7;0;0;4;23;0;0;2;0;0;0;0;12;2
534781;D¯Ìsy;732;471;469;78;1;0;23;0;32;17;8;0;7;0;1;50;0;0;16;163;0;3;24;0;1;0;1;44;0
533378;Jevany;577;410;405;85;5;1;27;0;30;26;3;4;6;0;0;52;0;0;47;90;0;1;8;0;2;0;0;15;3
538329;KlÌËany;269;166;166;29;0;1;8;0;6;13;1;3;1;0;1;23;0;0;8;53;0;0;4;0;1;0;0;14;0
565008;DobroËovice;209;148;147;29;0;0;7;1;17;5;0;1;8;1;0;14;0;0;13;33;0;0;0;0;2;0;0;16;0
